CH 1,CH 2,CH 3,CH 4,CH 5,CH 6,CH 7,CH 8,CH 9,CH 10,CH 11,CH 12,Suhu,Debit
0,0,0,0,0,0,0,0,0,0,0,0,27.2,6.06
0,0,0,0,0,0,0,0,0,0,0,0,26.8,6.616
0,0,0,0,0,0,0,0,0,0,0,0,28.1,5.132
0,0,0,0,0,0,0,0,0,0,0,0,27.1,5.274
0,0,0,0,0,0,0,0,0,0,0,0,27.5,5.408
0,0,0,0,0,0,0,0,0,0,0,0,27.6,4.409
0,0,0,0,0,0,0,0,0,0,0,0,27.1,5.481
0,0,0,0,0,0,0,0,0,0,0,0,27.8,5.685
0,0,0,0,0,0,0,0,0,0,0,0,27.7,5.724
0,0,0,0,0,0,0,0,0,0,0,0,28.1,5.565
0,0,0,0,0,0,0,0,0,0,0,0,27.1,5.084
0,0,0,0,0,0,0,0,0,0,0,0,26.5,4.855
0,0,0,0,0,0,0,0,0,0,0,0,26.9,4.06
0,0,0,0,0,0,0,0,0,0,0,0,28.3,5.132
0,0,0,0,0,0,0,0,0,0,0,0,28.8,4.173
0,0,0,0,0,0,0,0,0,0,0,0,27.3,4.309
0,0,0,0,0,0,0,0,0,0,0,0,28.2,4.357
0,0,0,0,0,0,0,0,0,0,0,0,28,4.086
0,0,0,0,0,0,0,0,0,0,0,0,27.5,4.999
0,0,0,0,0,0,0,0,0,0,0,0,27.8,4.767
0,0,0,0,0,0,0,0,0,0,0,0,25.7,4.466
0,0,0,0,0,0,0,0,0,0,0,0,23.4,3.956
0,0,0,0,0,0,0,0,0,0,0,0,26.6,4.545
0,0,0,0,0,0,0,0,0,0,0,0,27,3.876
0,0,0,0,0,0,0,0,0,0,0,0,26.9,4.093
0,0,0,0,0,0,0,0,0,0,0,0,27,4.466
0,0,0,0,0,0,0,0,0,0,0,0,26.2,4.06
0,0,0,0,0,0,0,0,0,0,0,0,26.5,3.837
0,0,0,0,0,0,0,0,0,0,0,0,27.1,3.822
0,0,0,0,0,0,0,0,0,0,0,0,27.6,3.849
0,0,0,0,0,0,0,0,0,0,0,0,28.1,3.058
0,0,0,0,0,0,0,0,0,0,0,0,27.6,3.206
0,0,0,0,0,0,0,0,0,0,0,0,26,3.974
0,0,0,0,0,0,0,0,0,0,0,0,26.9,4.086
0,0,0,0,0,0,0,0,0,0,0,0,28.3,4.111
