Curah Hujan,Suhu,Debit
0,24,5.463
0,24.5,13.10342
0,24.5,5.755
0,24,5.733
0,24,10.00818
0,24,5.426
0,25,11.02153
0,25.5,5.648
0,26,14.20044
0,27,11.66896
0.99907,26.5,5.059
0.117379,26.5,13.96967
0,25.5,10.95744
0,25,13.00535
0,24.5,5.463
0,26,12.47188
0,24,11.20143
0,23.5,11.19936
0,25.5,11.74951
0,25.5,4.393
0,25.5,3.319
0,25.5,11.63139
0,24.5,3.671
31.51118,25,101.6746
0,25,3.584
0,25,3.789
0,24,10.28981
0,24.5,13.0012
0,23.5,13.83446
0,23.5,3.426
0,25,3.349
0,25,3.389
0,24.5,14.36782
0,24.5,12.8929
0,24,3.34
0,24,3.28
0,25,3.395
0,25.5,10.51951
0,26,9.968941
0,26,12.79041
0,26,9.7932
0,26,2.715
0,26,11.87918
0,26,12.88195
0,26,11.55769
0,26,11.5719
0,26,10.10487
0,26,12.40549
0,25,13.13819
0,25,11.11869
0,24.5,1.783
0,24.5,12.93868
0,24.5,11.0773
0,24.5,13.78379
0,24.5,1.899
0,24.5,1.919
0,24.5,1.878
0,24.5,10.64689
0,25.5,13.02344
0,25.5,1.802
0,25.5,1.531
0,28,11.20094
0,24.5,1.626
0,26,11.22828
0,26,11.5301
0,27.7,1.733
0,27.5,1.827
0,26.5,13.25191
0,28.2,1.863
0,27.8,11.78304
0,27.3,1.872
0,27.5,1.523
0,28.7,3.753
0,28.1,12.35508
0,27.6,14.13399
0,28,12.77889
0,27.2,2.214
0,27.6,2.584
0,27.6,11.97886
0,28.1,2.936
0,27.6,11.24337
0,27.9,12.79584
0,27.1,2.257
0.65249,26.8,16.47007
0.341385,26.8,2.168
0,27.3,12.23153
0.117379,27.6,12.69679
0,28.1,12.97509
0,28.6,2.168
0,28.8,2.066
0,28.6,1.881
0,27.7,13.07476
0,28,1.827
0,28,1.845
0.701069,28.2,18.91163
0,28.1,1.937
0,25,1.32
0,25,1.55
0,24,13.8404
0,24,1.605
1.968382,24,28.03383
1.782243,25,25.90667
8.409425,25,53.48078
1.312926,28,9.456
1.498692,4,23.33686
0.943019,18.5,21.1288
0.784397,27.5,14.838
1.802807,28,11.135
2.477114,28,32.10154
1.49048,28,6.271
0.400431,28,16.5948
3.65358,25,37.9285
0.683751,25,6.766
3.149429,25,34.54622
1.99728,25,6.005
2.418932,25,6.57741
2.052058,25,6.083
0.9083,27,21.04276
0.912114,27,19.21667
0.32182,26.5,4.473
1.149555,27,7.38041
0.359626,27.5,5.984
0.049364,27.5,4.90741
2.257542,29.5,5.755
1.2683,26.5,5.093
46.92458,26.5,113.1963
0.359403,26,7.085
0.805197,27,14.131
0.320349,27,18.601
1.033432,27,22.68941
1.304168,27,22.11742
2.752431,26,9.742
0.044981,26.5,12.44372
0.000762,26,12.72496
0.029272,26,11.69972
2.491784,26.5,31.10141
0.257709,25.5,13.57483
4.460942,30,41.27244
0.299661,30,13.94303
0.808924,25.5,16.15703
0.494205,25.5,39.547
0.571223,26,16.9406
5.064408,25.5,43.61975
3.062615,25,59.119
0,25,27.07
2.010967,25,27.16877
1.10012,27,27.534
0.509608,26.5,17.022
1.72448,26.5,37.208
0.552223,26,75.359
2.588428,24.5,32.32388
0.377958,25,19.01641
0.728742,25,17.52169
1.254137,25.5,23.08927
0.082695,26,11.941
0.315895,26,11.639
13.30227,25.5,89.99565
32.30287,25,55.7378
15.38614,26,115.4564
21.26768,26,88.53398
3.82559,26,104.4304
11.28978,26,61.67116
1.623047,27,63.23516
0.456533,27,38.64711
1.904944,27,83.23051
0,26,61.67116
0,27,41.42626
8.995882,26,94.87434
14.33203,27,62.77922
19.65936,26,94.92234
10.19435,26,64.65916
15.20404,26,129.7561
10.62543,26,79.18573
18.25636,26,85.70665
12.03974,26,105.8564
10.15091,26,47.84287
2.044294,27,84.08951
10.65426,27,94.87434
14.62065,26,70.78414
32.75592,26,129.8141
14.13265,26,59.95279
21.75354,26,94.85334
6.710585,27,94.74734
9.985707,27,130.0881
9.166438,27,117.6644
28.45464,27,74.06147
16.68115,27,87.05548
7.046453,26,84.18651
9.764776,26.5,79.07973
5.179761,26.5,74.14247
5.226825,26,56.58462
15.19985,27,56.0988
3.9091,26.5,74.32347
2.227451,26,51.83561
9.776425,26.5,61.90888
12.69731,27,74.13947
4.414413,27,117.5804
8.157344,26.5,84.08951
18.70017,26,94.87434
22.37724,26,63.44951
3.83319,25.5,129.8141
10.49687,26.5,57.248
0.656677,26,94.85334
4.574271,26,94.74734
0.331482,25.5,130.0881
6.334103,25.5,117.6644
5.353413,25.5,42.41352
4.317512,26.5,106.2044
0.682322,26.5,48.20587
5.749373,26.5,74.13047
4.581345,26,40.67611
13.4499,26,46.853
23.57243,26.5,44.24456
7.895686,26.5,46.3716
21.31238,26.5,74.13047
17.33881,26.5,84.18651
15.05543,26,79.07973
15.41217,26,74.14247
1.847066,26.5,29.83278
6.173129,26.5,56.0988
3.642604,26.5,48.07087
1.795449,26.5,51.83561
4.437438,26.5,48.03387
0,27,40.59611
1.857751,27,47.82987
5.236632,27,79.09873
7.690048,26.5,105.9154
5.963666,26.5,74.14247
2.94784,26,117.5234
17.61216,27,56.0988
10.53481,26.5,56.1358
9.482897,26.5,64.72816
8.628106,26.5,48.03387
13.77471,25.5,74.15847
12.49361,26,64.74116
27.71065,27,90.86634
24.36871,27,80.41951
8.712986,26,67.32677
16.4004,26.5,68.27747
9.921257,26.5,67.5748
54.11082,26.5,89.16934
2.6528,26,70.34447
0,26,65.45029
7.806286,26,80.18551
