Tanggal,Curah Hujan,Suhu,Debit
09/03/2015,9.693285,26.3,54.57607
10/03/2015,0,26.7,10.94035
11/03/2015,0,27.1,11.99055
12/03/2015,0.002084,26.7,12.47295
13/03/2015,3.270357,26.8,35.2617
14/03/2015,2.424853,27.2,77.669
15/03/2015,8.794717,27,54.68307
16/03/2015,11.72094,26.6,55.34664
17/03/2015,12.36711,26.8,124.237
18/03/2015,5.306885,28.5,45.36208
19/03/2015,0.846235,28,75.085
20/03/2015,8.439788,26.9,53.50471
21/03/2015,5.617053,27.2,85.061
22/03/2015,1.03113,27.6,21.70459
23/03/2015,0.241841,26.6,74.824
24/03/2015,4.178335,28,39.27225
25/03/2015,3.065789,28.2,91.079
26/03/2015,4.811742,27.9,76.936
27/03/2015,2.386736,28.4,30.49181
28/03/2015,1.611125,28.3,25.26188
29/03/2015,2.739912,27.5,100.707
30/03/2015,4.570065,27,42.34505
31/03/2015,2.04662,27.8,101.178
01/04/2015,2.988896,26.8,74.098
02/04/2015,8.727224,27.8,56.05233
03/04/2015,10.17929,27.6,63.676
04/04/2015,1.013214,28,19.59554
05/04/2015,3.795192,27.2,38.87329
06/04/2015,0.291258,27.6,12.82318
07/04/2015,0.482344,27.6,59.962
08/04/2015,0.712655,28.1,19.64831
09/04/2015,0.270718,27.6,50.668
10/04/2015,26.19788,27.9,59.047
11/04/2015,0.998016,27.1,21.66002
12/04/2015,0,26.8,21.231
13/04/2015,0.091963,28,14.17518
14/04/2015,2.529098,28.2,30.96469
15/04/2015,12.52554,28.1,98.769
16/04/2015,1.193505,27.7,67.277
17/04/2015,0,27.5,42.247
18/04/2015,0.104659,28.1,41.238
19/04/2015,0,28.2,12.23218
20/04/2015,0,27.8,35.52
21/04/2015,2.587663,27.3,31.45931
22/04/2015,1.481591,27.6,67.424
23/04/2015,5.281298,28.3,36.473
24/04/2015,0.664646,28.1,17.70835
25/04/2015,9.54822,28.6,126.545
26/04/2015,4.700864,28.8,43.44052
27/04/2015,0,28.6,12.09831
28/04/2015,0.378148,27.7,16.24973
29/04/2015,9.340407,28,69.727
30/04/2015,3.923495,27.9,37.98152
01/05/2015,0.534151,27.1,18.61276
02/05/2015,0,26.8,13.26077
03/05/2015,0,27.3,11.5023
04/05/2015,0,27,73.68
05/05/2015,0,27.6,68.059
06/05/2015,0,26.5,13.81991
07/05/2015,0,26.8,13.87761
08/05/2015,6.154077,26.7,48.89571
09/05/2015,5.254565,27.2,43.48558
10/05/2015,13.61008,27.8,26.135
11/05/2015,10.5323,26.7,53.90095
12/05/2015,0,26.7,25.582
13/05/2015,0.649952,27.7,21.318
14/05/2015,0.260186,27,16.06319
15/05/2015,0.387562,27,26.905
16/05/2015,2.329313,27.2,31.14458
17/05/2015,2.066013,26.1,29.62293
18/05/2015,0.443044,27,20.117
19/05/2015,0.03832,27.3,11.09216
20/05/2015,0.131338,27,13.344
21/05/2015,0.601274,27,19.4493
22/05/2015,0.002129,26,14.241
23/05/2015,1.018913,25.6,12.544
24/05/2015,0,27.5,11.74341
25/05/2015,0,26.4,11.88697
26/05/2015,0,26.5,11.894
27/05/2015,0.318996,26.6,16.03272
28/05/2015,0.839538,26.1,15.633
29/05/2015,0.198105,25.7,12.6921
30/05/2015,0,26.3,16.086
31/05/2015,0.097256,25.4,14.145
01/06/2015,0.83697,25.5,19.94082
02/06/2015,0,28.1,12.896
03/06/2015,0.929988,27.3,19.65756
04/06/2015,7.706626,27,51.69988
05/06/2015,0,27.6,47.529
06/06/2015,57.14956,26.5,123.1076
07/06/2015,1.347286,26.8,15.22181
08/06/2015,0,26.7,12.48753
09/06/2015,0,27.2,16.112
10/06/2015,11.14788,27.8,15.674
11/06/2015,0.093879,26.7,14.28309
12/06/2015,0,26.7,12.56802
13/06/2015,2.822341,27.7,31.46995
14/06/2015,0,27,12.505
15/06/2015,0,27,12.29195
16/06/2015,0,27.2,11.43584
17/06/2015,0,26.1,12.77209
18/06/2015,0,27,9.356
19/06/2015,0,27.3,12.5446
20/06/2015,57.09188,27,10.52
21/06/2015,0.543482,27,13.67985
22/06/2015,7.034436,26,9.865
23/06/2015,0,25.6,10.688
24/06/2015,0,27.5,10.264
25/06/2015,15.46431,26.4,61.18053
26/06/2015,0,26.5,9.452
27/06/2015,76.01483,26.6,165.6218
28/06/2015,6.511616,26.1,6.934
29/06/2015,1.086964,25.7,22.79203
30/06/2015,0,26.3,9.56
01/07/2015,0,25.4,7.205
02/07/2015,0,25.5,7.114
03/07/2015,0,25.7,7.886
04/07/2015,0.110494,23.4,7.87
05/07/2015,0,26.6,12.78672
06/07/2015,1.672779,27,8.069
